content,label,category
【三星折叠屏原型机曝光：双屏设计/非柔性屏】网友@黎启lee晒出三星的ProjcetV可折叠手机，该机型号为SM-G929，采用了双屏幕设计，仅用物理方式连接起来，非柔性屏折叠。爆料者强调，该机为测试机，并不会推出市场。传言中三星最快明年推出柔性折叠屏的产品，你会入手么？,0,科技
【能电鱼，更能电力找鱼：别以为电鳗只有把鱼电晕一招！】电鳗2米长的身体里有许多专门发电的细胞，能产生600伏电击，足以电倒一个人。以为电鳗就这么点本事？最新研究发现：它还能把猎物从藏身之处电出来，甚至能靠放电追踪猎物。http://t.cn/RUnzfKG但像超凡蜘蛛侠那样电出超能力是不行的[微笑],0,科技
新版微博个人主页过两天就上线了！包括访客到访和被转发评论次数等新功能。参考图如下，来自：@AlvinShing,1,科技
在iPad2发售几小时后，国外玩家就已经对它进行了拆解。想了解如此轻薄的机身如何容纳下这么多器件，请看iPad2拆解图集http://sinaurl.cn/htLUzF,0,科技
#乐享时光#现在科学家都这么闲了吗?谢谢你告诉我这么重要的结论啊！（转）,0,科技
"这是日本人所发明的一种宠物养殖技术，叫盆景猫！他们给小猫喂食一种促进骨质软化的化学药物,然后强塞进瓶子里，等小猫长大，身体胀满瓶子...",1,科技
给你们说个鬼故事：过几天微博就可以看访客了。,1,科技
#最近访客功能#据说，过几天新浪微博要开通查看最近访客功能了。这就意味着从此以后，你不能再去你前任的微博了，也不能去你前任的现任，你现任的前任，还有什么你暗恋的，你讨厌的这些人的微博了。但是！你们可以上『好友美食』去查他们的就餐记录啊亲！好使！@我的前任是极品,1,科技
论坛说事非常遗憾，屠呦呦落选院士！2019年，屠呦呦获得共和国勋章；2015年，屠呦呦获得诺贝尔生物学奖。在今年院士评选中落选，好在屠呦呦本人不在乎，评选委员会给出三个落选理由：1.没有留洋背景；2.没有博士学位；3.没有发表足够数量的论文。高福发表论文450多篇，钟南山院士发布论文220多篇。她与她的青蒿素功在当代，利在千秋，她为祖国的中医药事业做出了卓越成就；她造福了全人类，可以彪炳史册；她被BBC评选为“20世纪最伟大的科学家，可以与爱因斯坦，居里夫人齐名”。屠呦呦落选，您怎么看#论坛说事#,1,科技
全国首家“无人银行”亮相大堂经理是智能机器人银行里没有忙碌的工作人员和拥挤的排队客户，而是各种机器人、智慧柜员机、存取款机、外汇兑换机等智能化设备，科技感十足。业内观点无人银行是银行物理网点的一个创新，是转型的一种选择，但并不意味着会成为一种趋势，线上银行才是未来银行业发展开全文c,0,科技
未来世界无法想象，一切皆有可能！时代在改变、如果你不去改变、只能等着被淘汰！美国🇺🇸最新机器人老婆Alice艾丽丝面世，按21岁姑娘打造，与真人相似度99%，售价十万美金，终身软件升级和保修。上海悦来汉蓉的微博视频,1,科技
NVIDIA在硬件层面优化#剑网3#的表现，不仅测试了旗下所有GPU在实际游戏中的效率，还针对游戏性能、画质和技术特点在显卡的核心：GPU和驱动软件中做了定制的深度优化。针对#剑网3#大规模的战争攻防场面，GeForce显卡还将有效分流CPU的运算任务，从而保证游戏的流畅和稳定性。详见O真实光影世界NVIDIA全新技术助阵《剑网3》引擎_剑侠情缘网络版叁_金山游戏官方网站_金山逍遥Xoyo.com,0,科技
【恢复从回收站中被删除的文件的方法】有时候，因为不小心删除了有用的或还要用的文件，而且又清空了回收站（或直接删除而根本不放入回收站）。怎么办？别着急，只要你的电脑还没有运行磁盘整理，且系统完好，任何时候的文件都可以找回来。@学点黑客技术[转],1,科技
【数学不好？电击一下试试？】哈佛大学最新研究成果表明，连续5天给大脑做20分钟电击，数字推理运算能力可提高28%。研究者称，他们所用的电流很轻，相当于5号电池，被电者不会有任何疼痛不适。他们希望将这项成果在世界各地中小型推广，帮助那些数学不好的孩纸。via微天下,1,科技
最大的火箭“长征五号B”在5月5日傍晚首次发射，官方称成功将载人试验飞船送上轨道，稍后官方媒体报道称返回舱出现异常。但“长征五号B”之后便完全失控，在太空飘荡6天后，5月11日，预测将坠入美国加州外海。这也成为近30年来整个地球所迎来的最大的失控人造物。“长征五号B”一次发射却两次失败坠入美国外海,1,科技
